time,distance,heuristic,cityDep_id,cityArr_id
8713,221995,203383.07458159703,1000,0
16233,471022,394070.15009166015,10000,0
6202,148594,131631.33211818742,100000,0
32495,1002883,834880.1495093731,1000,1
10999,315841,277288.5021964183,10000,1
26028,798048,668885.2406239017,100000,1
22347,691051,559067.6362196484,1000,2
643,2332,1645.8405784767317,10000,2
15880,486216,392697.02374648856,100000,2
30010,892057,792345.6533608058,1000,3
17917,538244,360593.32243894786,10000,3
27136,813106,658559.0821273173,100000,3
37351,1155866,833483.7377705812,1000,4
15855,468824,298372.090786617,10000,4
30884,951031,663201.045803621,100000,4
20657,599851,508373.70142066624,1000,5
22760,683928,515224.1277099353,10000,5
17783,520900,471883.17701920087,100000,5
17788,520567,407163.25209927064,1000,6
16946,493622,384247.2530163967,10000,6
11679,344731,280430.4613592943,100000,6
31790,987652,785036.8964493532,1000,7
10294,300610,251665.33199232328,10000,7
25323,782817,627499.2625976815,100000,7
27028,803812,700230.7943438378,1000,8
18640,553147,435008.78991656384,10000,8
24154,724861,602018.7931921047,100000,8
19003,564305,446182.89057224285,1000,9
23844,736042,558681.9055931333,10000,9
16129,485354,440353.6776295432,100000,9
10940,314145,244702.92032171178,1000,10
21709,653183,545484.7534850689,10000,10
12060,351939,285226.82570674684,100000,10
7214,206510,168441.3324392816,1000,11
15609,485539,393354.2026359753,10000,11
592,2745,1885.6124356327953,100000,11
294,1217,421.4113643653723,1000,12
22106,689544,558280.5294312111,10000,12
7252,207284,170705.87244398295,100000,12
24399,747768,586922.1516965765,1000,13
2903,60726,49366.59271476965,10000,13
17932,542933,424120.9829739899,100000,13
34641,1065664,864163.5664533776,1000,14
13145,378622,306757.1774037582,10000,14
28174,860829,696454.0817990554,100000,14
17545,511976,440141.50060016563,1000,15
19649,596053,453260.8735139424,10000,15
14671,433025,392916.4870649756,100000,15
26092,756585,599395.7927292592,1000,16
32331,976522,764334.1538388784,10000,16
24616,725834,631829.7136613172,100000,16
25645,803754,639377.4577952934,1000,17
4535,116525,95399.61738236537,10000,17
19178,598919,470204.3039895177,100000,17
16806,510452,395316.0661047505,1000,18
6853,191409,174105.73809916235,10000,18
10339,305617,225375.40512725286,100000,18
15137,424767,359305.72561335354,1000,19
19515,580761,431763.37123604363,10000,19
12263,345816,314737.19614635804,100000,19
21333,637361,539585.9721475613,1000,20
6136,163034,135810.20578925862,10000,20
18459,558410,391093.92628224695,100000,20
5316,139025,98081.15100399767,1000,21
21081,610625,498347.2001481945,10000,21
6435,176819,146224.21261195844,100000,21
20594,605378,548969.2224879876,1000,22
13770,410422,278139.4576069895,10000,22
17720,526427,431489.6629821524,100000,22
31686,983759,809985.2274551321,1000,23
10190,296717,252163.92680563967,10000,23
25219,778924,643621.8995976885,100000,23
30471,943828,762780.4159221984,1000,24
8975,256786,217588.41889777576,10000,24
24004,738993,601843.447316743,100000,24
15995,455309,401260.57236765506,1000,25
16236,486883,365363.25058182765,10000,25
13121,376358,323307.9430990165,100000,25
33847,985478,811186.8194559205,1000,26
16338,471108,337420.86163919856,10000,26
30973,906527,668290.9913029025,100000,26
12316,361504,277623.1539714656,1000,27
15039,456538,388945.72920726135,10000,27
6270,185884,154612.4310970587,100000,27
22490,697464,557849.4226959693,1000,28
1265,5681,4105.709515659694,10000,28
16023,492629,391256.73552280635,100000,28
18981,583795,434131.097677069,1000,29
8864,256285,189902.14193782312,10000,29
12514,378960,265574.61960148846,100000,29
13243,385346,293371.37787122716,1000,30
22650,691800,545159.9060501766,10000,30
13613,384951,319810.4627541749,100000,30
12510,345711,313828.9584880298,1000,31
14856,462406,327985.7368651752,10000,31
9636,266760,215805.07609063978,100000,31
21840,634756,445948.03815200966,1000,32
13068,379775,292500.5155437867,10000,32
15731,458920,293416.61069554335,100000,32
9105,256677,194807.51092979943,1000,33
19524,591744,496448.5790361095,10000,33
10225,294471,216125.72581506326,100000,33
35351,1069696,884790.5138629193,1000,34
15188,457295,375872.15366127744,10000,34
30217,939502,734932.7162521372,100000,34
8196,225933,208589.0468153242,1000,35
15299,463968,393916.5493054224,10000,35
5992,153260,138616.11658708507,100000,35
14944,418425,312743.48791821464,1000,36
13420,400897,341680.7928565309,10000,36
8817,204099,168917.43387269365,100000,36
808,12076,10283.450413693463,1000,37
22363,698942,563811.4732101174,10000,37
7509,216682,174767.34522488416,100000,37
7969,221119,196146.2842731297,1000,38
16659,482123,405147.69918780844,10000,38
6386,160808,134830.3497914174,100000,38
949,14070,11105.508919968644,1000,39
22504,700936,565887.6238806606,10000,39
7650,218676,176924.6868113944,100000,39
11092,300833,241027.2582087343,1000,40
17546,528666,425019.02033960953,10000,40
8634,229141,202611.75158627398,100000,40
37583,1152161,829729.0588857528,1000,41
16087,465119,291729.90817990055,10000,41
31116,947326,659497.9345085218,100000,41
9159,240252,214644.4844831789,1000,42
15455,467312,395193.13905121194,10000,42
6543,167787,147918.19236008788,100000,42
29843,916626,755206.7409837929,1000,43
8347,229584,201248.54236154602,10000,43
23376,711791,591337.2042269519,100000,43
19321,553145,493443.486318342,1000,44
17991,467109,358716.0543788662,10000,44
16447,474194,404860.2113759765,100000,44
7925,225197,202552.15322323528,1000,45
16131,481602,402168.3417794692,10000,45
6342,164886,139824.40789428452,100000,45
33491,1009176,856543.3178602213,1000,46
23907,724954,494881.4794783744,10000,46
30617,930225,742650.0001905345,100000,46
23632,685916,586491.4097299798,1000,47
22827,608592,465018.4596055671,10000,47
20758,606965,517803.0714227751,100000,47
4291,114365,94053.72950266355,1000,48
24012,758998,618961.7025108814,10000,48
9158,276738,247802.126108009,100000,48
8149,223284,199694.24005205015,1000,49
16307,474716,401928.0569991073,10000,49
6567,162973,135796.07774596236,100000,49
16294,463058,397908.31186385953,1000,50
11625,338153,237895.56992500505,10000,50
13420,384107,269016.6274999553,100000,50
8310,228271,204320.74378136164,1000,51
16296,475321,400571.81743547536,10000,51
6728,167959,140353.40290124525,100000,51
36809,1140137,841930.7765524369,1000,52
15313,453095,302141.34439240344,10000,52
30342,935302,671731.9234345442,100000,52
3852,87040,68040.73451845431,1000,53
25296,770854,616558.9547206502,10000,53
10442,288594,234857.75912479585,100000,53
25142,720831,586344.2704826389,1000,54
11302,287133,195310.0631510626,10000,54
22268,641880,446838.55381451023,100000,54
22159,652560,535715.3285494398,1000,55
24262,736637,564540.2784887132,10000,55
19285,573609,511273.2944008706,100000,55
36876,1131926,842718.382896855,1000,56
15380,444884,300527.8150104709,10000,56
30409,927091,672601.4731721921,100000,56
37873,1040933,766011.8596646535,1000,57
16763,353704,225475.1680250197,10000,57
31406,836098,595971.0766671272,100000,57
26919,778663,596727.0595379007,1000,58
30186,904525,723509.4887751496,10000,58
24045,699712,614824.7315547335,100000,58
25771,792509,648745.3249531246,1000,59
4275,105467,91934.77768844855,10000,59
19304,587674,483278.1750074385,100000,59
678,8872,7726.780819934137,1000,60
22233,695738,562415.0547053529,10000,60
7379,213478,173702.7394674055,100000,60
24181,675541,596590.3072967194,1000,61
19345,514248,381950.89230746747,10000,61
21307,596590,501386.76230094355,100000,61
7475,207932,194122.250210292,1000,62
16399,480257,396485.94577637606,10000,62
5938,148239,121233.72817122229,100000,62
11028,327184,269570.936646431,1000,63
12326,376087,288636.3578426605,10000,63
4561,122349,104204.92974747042,100000,63
24694,717790,567266.6343646123,1000,64
27961,843653,663066.8153489006,10000,64
21820,638839,571145.7485500571,100000,64
4147,108289,88195.46643023672,1000,65
18716,584310,469998.10254270816,10000,65
3862,102050,87870.4624364713,100000,65
34547,1063654,865023.8869235751,1000,66
13051,376612,307435.8979289051,10000,66
28080,858819,697484.0024295911,100000,66
8973,237165,216565.51877891735,1000,67
14890,449662,384068.2418512744,10000,67
6015,154994,138617.56532695357,100000,67
7871,221003,202903.4527343439,1000,68
15589,469525,398104.51628362027,10000,68
6282,158816,135691.45087921037,100000,68
21752,625450,546433.1779745701,1000,69
20947,548126,414083.17447739263,10000,69
18878,546499,468498.37013201934,100000,69
8759,208131,151667.74475787964,1000,70
18299,566908,446346.81064395176,10000,70
3562,87902,76374.08556120605,100000,70
25475,797891,602422.5586742455,1000,71
4365,110663,88284.30102435056,10000,71
19008,593056,432419.1515698727,100000,71
6893,193629,150810.88399215674,1000,72
19169,551312,458164.4077780376,10000,72
8013,231423,144160.78501566118,100000,72
27259,809672,705135.2741055219,1000,73
18871,559007,439817.0472038282,10000,73
24385,730721,607301.0115655325,100000,73
22374,700811,566882.0635005038,1000,74
878,13769,9200.67927381472,10000,74
15907,495976,400423.3612684102,100000,74
64601,1349915,1062611.3299376112,1000,75
43105,662873,529917.236920603,10000,75
58134,1145080,892391.0642187573,100000,75
23105,675688,536837.0102738302,1000,76
25867,786906,616175.0636787706,10000,76
20231,596737,531180.5884464044,100000,76
28318,843887,747553.0401197947,1000,77
16948,506185,336082.7264367312,10000,77
25444,764936,616395.2034647118,100000,77
26921,831870,635735.473696347,1000,78
5811,144641,102850.8511139896,10000,78
20454,627035,465984.07659152296,100000,78
35171,1082578,867761.8941967123,1000,79
